observation_date,IR3TBB01AUQ156N
1994-10-01,7.1866666666666701
1995-01-01,8.1933333333333298
1995-04-01,7.7133333333333294
1995-07-01,7.5433333333333294
1995-10-01,7.4533333333333296
1996-01-01,7.4866666666666708
1996-04-01,7.5633333333333299
1996-07-01,7.1299999999999999
1996-10-01,6.4266666666666703
1997-01-01,5.9266666666666703
1997-04-01,5.7533333333333294
1997-07-01,4.9533333333333296
1997-10-01,4.9500000000000002
1998-01-01,4.9733333333333292
1998-04-01,5.0666666666666700
1998-07-01,5.1299999999999999
1998-10-01,4.8366666666666704
1999-01-01,4.7900000000000000
1999-04-01,4.8499999999999996
1999-07-01,4.9400000000000004
1999-10-01,5.4666666666666703
2000-01-01,5.7833333333333297
2000-04-01,6.1933333333333298
2000-07-01,6.4199999999999999
2000-10-01,6.3133333333333299
2001-01-01,5.5466666666666704
2001-04-01,4.9066666666666707
2001-07-01,4.8466666666666702
2001-10-01,4.2966666666666704
2002-01-01,4.3433333333333293
2002-04-01,4.8333333333333295
2002-07-01,4.9533333333333296
2002-10-01,4.8566666666666700
2003-01-01,4.7699999999999996
2003-04-01,4.7466666666666706
2003-07-01,4.8166666666666700
2003-10-01,5.2500000000000000
2004-01-01,5.5433333333333294
2004-04-01,5.5133333333333292
2004-07-01,5.4400000000000004
2004-10-01,5.4166666666666705
2005-01-01,5.6200000000000001
2005-04-01,5.6966666666666708
2005-07-01,5.6299999999999999
2005-10-01,5.6299999999999999
2006-01-01,5.6166666666666707
2006-04-01,5.8399999999999999
2006-07-01,6.1500000000000004
2006-10-01,6.3466666666666702
2007-01-01,6.4100000000000001
2007-04-01,6.4233333333333400
2007-07-01,6.7199999999999998
2007-10-01,7.1166666666666707
2008-01-01,7.5899999999999999
2008-04-01,7.7999999999999998
2008-07-01,7.4433333333333298
2008-10-01,5.0599999999999996
2009-01-01,3.3533333333333299
2009-04-01,3.1600000000000001
2009-07-01,3.2700000000000000
2009-10-01,3.9533333333333296
2010-01-01,4.2300000000000004
2010-04-01,4.7500000000000000
2010-07-01,4.7999999999999998
2010-10-01,4.9533333333333296
2011-01-01,4.9333333333333300
2011-04-01,4.9633333333333294
2011-07-01,4.8766666666666705
2011-10-01,4.6200000000000001
2012-01-01,4.4066666666666707
2012-04-01,3.7833333333333297
2012-07-01,3.5533333333333301
2012-10-01,3.1699999999999999
2013-01-01,2.9966666666666701
2013-04-01,2.8799999999999999
2013-07-01,2.6466666666666701
2013-10-01,2.5866666666666700
2014-01-01,2.6333333333333302
2014-04-01,2.6899999999999999
2014-07-01,2.6466666666666701
2014-10-01,2.7400000000000002
2015-01-01,2.4533333333333300
2015-04-01,2.1833333333333300
2015-07-01,2.1499999999999999
2015-10-01,2.2366666666666699
2016-01-01,2.2966666666666700
2016-04-01,2.0833333333333299
2016-07-01,1.8066666666666700
2016-10-01,1.7600000000000000
2017-01-01,1.7833333333333301
2017-04-01,1.7400000000000000
2017-07-01,1.7066666666666701
2017-10-01,1.7300000000000000
2018-01-01,1.8300000000000001
2018-04-01,2.0299999999999998
2018-07-01,1.9700000000000000
2018-10-01,1.9633333333333300
2019-01-01,1.9533333333333300
2019-04-01,1.5033333333333301
2019-07-01,1.0233333333333301
2019-10-01,0.8966666666666659
2020-01-01,0.7700000000000000
2020-04-01,0.1233333333333330
2020-07-01,0.0966666666666667
2020-10-01,0.0366666666666667
2021-01-01,0.0166666666666667
2021-04-01,0.0366666666666667
2021-07-01,0.0133333333333333
2021-10-01,0.0466666666666667
2022-01-01,0.1033333333333330
2022-04-01,1.0033333333333301
2022-07-01,2.3799999999999999
2022-10-01,3.0600000000000001
2023-01-01,3.4733333333333301
2023-04-01,3.9366666666666705
2023-07-01,4.1933333333333298
2023-10-01,4.3133333333333299
